Date,Colony,sub,Treatment,Treated.leaf,Hour,Forager.age,LS,HH,,,,,,,,
20190626,Trixie,1,III,LS,0,Old,8,20,,,,,,,,
20190626,Trixie,1,III,LS,0,Young,0,0,,,,,,,,
20190626,Trixie,1,III,LS,1,Old,18,42,,,,,,,,
20190626,Trixie,1,III,LS,1,Young,0,0,,,,,,,,
20190626,Trixie,1,III,LS,2,Old,19,51,,,,,,,,
20190626,Trixie,1,III,LS,2,Young,11,1,,,,,,,,
20190626,Trixie,1,III,LS,3,Old,25,45,,,,,,,,
20190626,Trixie,1,III,LS,3,Young,20,1,,,,,,,,
20190626,Trixie,1,III,LS,4,Old,23,41,,,,,,,,
20190626,Trixie,1,III,LS,4,Young,3,9,,,,,,,,
20190626,Trixie,1,III,LS,5,Old,15,28,,,,,,,,
20190626,Trixie,1,III,LS,5,Young,12,16,,,,,,,,
20190626,Trixie,1,III,LS,6,Old,10,37,,,,,,,,
20190626,Trixie,1,III,LS,6,Young,34,10,,,,,,,,
20190626,Trixie,1,III,LS,7,Old,15,32,,,,,,,,
20190626,Trixie,1,III,LS,7,Young,27,13,,,,,,,,
20190626,Trixie,1,III,LS,7.5,Old,13,23,,,,,,,,
20190626,Trixie,1,III,LS,7.5,Young,19,5,,,,,,,,
20190627,Trixie,2,II,LS,0,Old,12,3,,,,,,,,
20190627,Trixie,2,II,LS,0,Young,14,5,,,,,,,,
20190627,Trixie,2,II,LS,1,Old,33,4,,,,,,,,
20190627,Trixie,2,II,LS,1,Young,28,13,,,,,,,,
20190627,Trixie,2,II,LS,2,Old,57,13,,,,,,,,
20190627,Trixie,2,II,LS,2,Young,37,21,,,,,,,,
20190627,Trixie,2,II,LS,3,Old,61,13,,,,,,,,
20190627,Trixie,2,II,LS,3,Young,28,20,,,,,,,,
20190627,Trixie,2,II,LS,4,Old,44,10,,,,,,,,
20190627,Trixie,2,II,LS,4,Young,24,9,,,,,,,,
20190627,Trixie,2,II,LS,5,Old,55,9,,,,,,,,
20190627,Trixie,2,II,LS,5,Young,48,23,,,,,,,,
20190627,Trixie,2,II,LS,6,Old,74,2,,,,,,,,
20190627,Trixie,2,II,LS,6,Young,42,25,,,,,,,,
20190627,Trixie,2,II,LS,7,Old,92,11,,,,,,,,
20190627,Trixie,2,II,LS,7,Young,48,43,,,,,,,,
20190627,Trixie,2,II,LS,7.5,Old,34,8,,,,,,,,
20190627,Trixie,2,II,LS,7.5,Young,19,25,,,,,,,,
20190628,Akeria,2,IV,LS,0,Old,0,17,,,,,,,,
20190628,Akeria,2,IV,LS,0,Young,0,5,,,,,,,,
20190628,Akeria,2,IV,LS,1,Old,0,23,,,,,,,,
20190628,Akeria,2,IV,LS,1,Young,0,8,,,,,,,,
20190628,Akeria,2,IV,LS,2,Old,7,69,,,,,,,,
20190628,Akeria,2,IV,LS,2,Young,1,1,,,,,,,,
20190628,Akeria,2,IV,LS,3,Old,0,76,,,,,,,,
20190628,Akeria,2,IV,LS,3,Young,0,1,,,,,,,,
20190628,Akeria,2,IV,LS,4,Old,4,95,,,,,,,,
20190628,Akeria,2,IV,LS,4,Young,0,4,,,,,,,,
20190628,Akeria,2,IV,LS,5,Old,1,103,,,,,,,,
20190628,Akeria,2,IV,LS,5,Young,2,30,,,,,,,,
20190628,Akeria,2,IV,LS,6,Old,15,99,,,,,,,,
20190628,Akeria,2,IV,LS,6,Young,1,47,,,,,,,,
20190628,Akeria,2,IV,LS,7,Old,3,102,,,,,,,,
20190628,Akeria,2,IV,LS,7,Young,3,45,,,,,,,,
20190628,Akeria,2,IV,LS,7.5,Old,5,41,,,,,,,,
20190628,Akeria,2,IV,LS,7.5,Young,0,6,,,,,,,,
20190629,Akeria,1,I,LS,0,Old,1,1,,,,,,,,
20190629,Akeria,1,I,LS,0,Young,0,0,,,,,,,,
20190629,Akeria,1,I,LS,1,Old,1,9,,,,,,,,
20190629,Akeria,1,I,LS,1,Young,1,2,,,,,,,,
20190629,Akeria,1,I,LS,2,Old,0,20,,,,,,,,
20190629,Akeria,1,I,LS,2,Young,5,3,,,,,,,,
20190629,Akeria,1,I,LS,3,Old,10,27,,,,,,,,
20190629,Akeria,1,I,LS,3,Young,7,8,,,,,,,,
20190629,Akeria,1,I,LS,4,Old,2,14,,,,,,,,
20190629,Akeria,1,I,LS,4,Young,8,3,,,,,,,,
20190629,Akeria,1,I,LS,5,Old,3,42,,,,,,,,
20190629,Akeria,1,I,LS,5,Young,6,28,,,,,,,,
20190629,Akeria,1,I,LS,6,Old,6,44,,,,,,,,
20190629,Akeria,1,I,LS,6,Young,14,42,,,,,,,,
20190629,Akeria,1,I,LS,7,Old,7,30,,,,,,,,
20190629,Akeria,1,I,LS,7,Young,9,24,,,,,,,,
20190629,Akeria,1,I,LS,7.5,Old,7,42,,,,,,,,
20190629,Akeria,1,I,LS,7.5,Young,0,3,,,,,,,,
20190701,Grace,1,IV,HH,0,Old,24,2,,,,,,,,
20190701,Grace,1,IV,HH,0,Young,62,60,,,,,,,, 
20190701,Grace,1,IV,HH,1,Old,9,0,,,,,,,,
20190701,Grace,1,IV,HH,1,Young,41,26,,,,,,,,
20190701,Grace,1,IV,HH,2,Old,17,0,,,,,,,,
20190701,Grace,1,IV,HH,2,Young,48,22,,,,,,,,
20190701,Grace,1,IV,HH,3,Old,15,0,,,,,,,,
20190701,Grace,1,IV,HH,3,Young,83,31,,,,,,,,
20190701,Grace,1,IV,HH,4,Old,7,0,,,,,,,,
20190701,Grace,1,IV,HH,4,Young,36,22,,,,,,,,
20190701,Grace,1,IV,HH,5,Old,8,0,,,,,,,,
20190701,Grace,1,IV,HH,5,Young,70,42,,,,,,,,
20190701,Grace,1,IV,HH,6,Old,16,0,,,,,,,,
20190701,Grace,1,IV,HH,6,Young,99,31,,,,,,,,
20190701,Grace,1,IV,HH,7,Old,17,0,,,,,,,,
20190701,Grace,1,IV,HH,7,Young,85,31,,,,,,,,
20190701,Grace,1,IV,HH,7.5,Old,4,0,,,,,,,,
20190701,Grace,1,IV,HH,7.5,Young,52,18,,,,,,,,
20190703,Grace,2,I,HH,0,Old,3,18,,,,,,,,
20190703,Grace,2,I,HH,0,Young,19,1,,,,,,,,
20190703,Grace,2,I,HH,1,Old,12,21,,,,,,,,
20190703,Grace,2,I,HH,1,Young,21,3,,,,,,,,
20190703,Grace,2,I,HH,2,Old,16,26,,,,,,,,
20190703,Grace,2,I,HH,2,Young,53,5,,,,,,,,
20190703,Grace,2,I,HH,3,Old,10,37,,,,,,,,
20190703,Grace,2,I,HH,3,Young,56,6,,,,,,,,
20190703,Grace,2,I,HH,4,Old,2,15,,,,,,,,
20190703,Grace,2,I,HH,4,Young,19,5,,,,,,,,
20190703,Grace,2,I,HH,5,Old,8,31,,,,,,,,
20190703,Grace,2,I,HH,5,Young,87,20,,,,,,,,
20190703,Grace,2,I,HH,6,Old,8,11,,,,,,,,
20190703,Grace,2,I,HH,6,Young,24,4,,,,,,,,
20190703,Grace,2,I,HH,7,Old,10,11,,,,,,,,
20190703,Grace,2,I,HH,7,Young,42,6,,,,,,,,
20190703,Grace,2,I,HH,7.5,Old,4,28,,,,,,,,
20190703,Grace,2,I,HH,7.5,Young,31,6,,,,,,,,
20190705,Danny,1,III,HH,0,Old,9,5,,,,,,,,
20190705,Danny,1,III,HH,0,Young,29,2,,,,,,,,
20190705,Danny,1,III,HH,1,Old,23,9,,,,,,,,
20190705,Danny,1,III,HH,1,Young,72,1,,,,,,,,
20190705,Danny,1,III,HH,2,Old,19,7,,,,,,,,
20190705,Danny,1,III,HH,2,Young,56,3,,,,,,,,
20190705,Danny,1,III,HH,3,Old,15,2,,,,,,,,
20190705,Danny,1,III,HH,3,Young,50,4,,,,,,,,
20190705,Danny,1,III,HH,4,Old,34,9,,,,,,,,
20190705,Danny,1,III,HH,4,Young,16,1,,,,,,,,
20190705,Danny,1,III,HH,5,Old,28,15,,,,,,,,
20190705,Danny,1,III,HH,5,Young,23,4,,,,,,,,
20190705,Danny,1,III,HH,6,Old,7,25,,,,,,,,
20190705,Danny,1,III,HH,6,Young,40,6,,,,,,,,
20190705,Danny,1,III,HH,7,Old,21,6,,,,,,,,
20190705,Danny,1,III,HH,7,Young,46,2,,,,,,,,
20190705,Danny,1,III,HH,7.5,Old,17,0,,,,,,,,
20190705,Danny,1,III,HH,7.5,Young,21,0,,,,,,,,
20190706,Danny,2,II,HH,0,Old,14,1,,,,,,,,
20190706,Danny,2,II,HH,0,Young,20,2,,,,,,,,
20190706,Danny,2,II,HH,1,Old,38,2,,,,,,,,
20190706,Danny,2,II,HH,1,Young,37,7,,,,,,,,
20190706,Danny,2,II,HH,2,Old,54,2,,,,,,,,
20190706,Danny,2,II,HH,2,Young,63,7,,,,,,,,
20190706,Danny,2,II,HH,3,Old,20,6,,,,,,,,
20190706,Danny,2,II,HH,3,Young,14,10,,,,,,,,
20190706,Danny,2,II,HH,4,Old,37,3,,,,,,,,
20190706,Danny,2,II,HH,4,Young,18,6,,,,,,,,
20190706,Danny,2,II,HH,5,Old,38,3,,,,,,,,
20190706,Danny,2,II,HH,5,Young,18,14,,,,,,,,
20190706,Danny,2,II,HH,6,Old,23,7,,,,,,,,
20190706,Danny,2,II,HH,6,Young,9,3,,,,,,,,
20190706,Danny,2,II,HH,7,Old,20,9,,,,,,,,
20190706,Danny,2,II,HH,7,Young,36,24,,,,,,,,
20190706,Danny,2,II,HH,7.5,Old,19,3,,,,,,,,
20190706,Danny,2,II,HH,7.5,Young,7,2,,,,,,,,
20190707,Silky,1,I,LS,0,Old,7,4,,,,,,,,
20190707,Silky,1,I,LS,0,Young,0,8,,,,,,,,
20190707,Silky,1,I,LS,1,Old,51,24,,,,,,,,
20190707,Silky,1,I,LS,1,Young,0,55,,,,,,,,
20190707,Silky,1,I,LS,2,Old,17,22,,,,,,,,
20190707,Silky,1,I,LS,2,Young,2,39,,,,,,,,
20190707,Silky,1,I,LS,3,Old,8,7,,,,,,,,
20190707,Silky,1,I,LS,3,Young,2,39,,,,,,,,
20190707,Silky,1,I,LS,4,Old,20,27,,,,,,,,
20190707,Silky,1,I,LS,4,Young,3,36,,,,,,,,
20190707,Silky,1,I,LS,5,Old,19,30,,,,,,,,
20190707,Silky,1,I,LS,5,Young,2,43,,,,,,,,
20190707,Silky,1,I,LS,6,Old,14,23,,,,,,,,
20190707,Silky,1,I,LS,6,Young,7,45,,,,,,,,
20190707,Silky,1,I,LS,7,Old,14,34,,,,,,,,
20190707,Silky,1,I,LS,7,Young,15,34,,,,,,,,
20190707,Silky,1,I,LS,7.5,Old,7,12,,,,,,,,
20190707,Silky,1,I,LS,7.5,Young,2,39,,,,,,,,
20190708,Silky,2,IV,LS,0,Old,0,2,,,,,,,,
20190708,Silky,2,IV,LS,0,Young,1,0,,,,,,,,
20190708,Silky,2,IV,LS,1,Old,0,0,,,,,,,,
20190708,Silky,2,IV,LS,1,Young,17,0,,,,,,,,
20190708,Silky,2,IV,LS,2,Old,0,18,,,,,,,,
20190708,Silky,2,IV,LS,2,Young,46,1,,,,,,,,
20190708,Silky,2,IV,LS,3,Old,1,4,,,,,,,,
20190708,Silky,2,IV,LS,3,Young,50,17,,,,,,,,
20190708,Silky,2,IV,LS,4,Old,0,0,,,,,,,,
20190708,Silky,2,IV,LS,4,Young,30,5,,,,,,,,
20190708,Silky,2,IV,LS,5,Old,1,3,,,,,,,,
20190708,Silky,2,IV,LS,5,Young,38,6,,,,,,,,
20190708,Silky,2,IV,LS,6,Old,0,8,,,,,,,,
20190708,Silky,2,IV,LS,6,Young,65,1,,,,,,,,
20190708,Silky,2,IV,LS,7,Old,6,2,,,,,,,,
20190708,Silky,2,IV,LS,7,Young,55,5,,,,,,,,
20190708,Silky,2,IV,LS,7.5,Old,5,7,,,,,,,,
20190708,Silky,2,IV,LS,7.5,Young,33,2,,,,,,,,
20190710,Evie,1,II,LS,0,Old,3,2,,,,,,,,
20190710,Evie,1,II,LS,0,Young,40,28,,,,,,,,
20190710,Evie,1,II,LS,1,Old,7,2,,,,,,,,
20190710,Evie,1,II,LS,1,Young,43,51,,,,,,,,
20190710,Evie,1,II,LS,2,Old,2,5,,,,,,,,
20190710,Evie,1,II,LS,2,Young,65,27,,,,,,,,
20190710,Evie,1,II,LS,3,Old,5,0,,,,,,,,
20190710,Evie,1,II,LS,3,Young,53,11,,,,,,,,
20190710,Evie,1,II,LS,4,Old,4,1,,,,,,,,
20190710,Evie,1,II,LS,4,Young,42,21,,,,,,,,
20190710,Evie,1,II,LS,5,Old,2,0,,,,,,,,
20190710,Evie,1,II,LS,5,Young,61,28,,,,,,,,
20190710,Evie,1,II,LS,6,Old,0,1,,,,,,,,
20190710,Evie,1,II,LS,6,Young,59,17,,,,,,,,
20190710,Evie,1,II,LS,7,Old,0,0,,,,,,,,
20190710,Evie,1,II,LS,7,Young,71,33,,,,,,,,
20190710,Evie,1,II,LS,7.5,Old,1,1,,,,,,,,
20190710,Evie,1,II,LS,7.5,Young,33,21,,,,,,,,
20190711,Evie,2,III,LS,0,Old,3,1,,,,,,,,
20190711,Evie,2,III,LS,0,Young,2,4,,,,,,,,
20190711,Evie,2,III,LS,1,Old,11,3,,,,,,,,
20190711,Evie,2,III,LS,1,Young,18,15,,,,,,,,
20190711,Evie,2,III,LS,2,Old,17,0,,,,,,,,
20190711,Evie,2,III,LS,2,Young,31,26,,,,,,,,
20190711,Evie,2,III,LS,3,Old,17,7,,,,,,,,
20190711,Evie,2,III,LS,3,Young,13,33,,,,,,,,
20190711,Evie,2,III,LS,4,Old,29,9,,,,,,,,
20190711,Evie,2,III,LS,4,Young,39,44,,,,,,,,
20190711,Evie,2,III,LS,5,Old,5,0,,,,,,,,
20190711,Evie,2,III,LS,5,Young,54,30,,,,,,,,
20190711,Evie,2,III,LS,6,Old,7,0,,,,,,,,
20190711,Evie,2,III,LS,6,Young,40,22,,,,,,,,
20190711,Evie,2,III,LS,7,Old,7,1,,,,,,,,
20190711,Evie,2,III,LS,7,Young,19,14,,,,,,,,
20190711,Evie,2,III,LS,7.5,Old,5,0,,,,,,,,
20190711,Evie,2,III,LS,7.5,Young,13,7,,,,,,,,
20190712,Brooklyn,1,III,HH,0,Old,2,0,,,,,,,,
20190712,Brooklyn,1,III,HH,0,Young,4,4,,,,,,,,
20190712,Brooklyn,1,III,HH,1,Old,2,4,,,,,,,,
20190712,Brooklyn,1,III,HH,1,Young,2,12,,,,,,,,
20190712,Brooklyn,1,III,HH,2,Old,14,4,,,,,,,,
20190712,Brooklyn,1,III,HH,2,Young,14,10,,,,,,,,
20190712,Brooklyn,1,III,HH,3,Old,10,5,,,,,,,,
20190712,Brooklyn,1,III,HH,3,Young,12,5,,,,,,,,
20190712,Brooklyn,1,III,HH,4,Old,6,3,,,,,,,,
20190712,Brooklyn,1,III,HH,4,Young,18,2,,,,,,,,
20190712,Brooklyn,1,III,HH,5,Old,8,0,,,,,,,,
20190712,Brooklyn,1,III,HH,5,Young,8,0,,,,,,,,
20190712,Brooklyn,1,III,HH,6,Old,0,1,,,,,,,,
20190712,Brooklyn,1,III,HH,6,Young,2,1,,,,,,,,
20190712,Brooklyn,1,III,HH,7,Old,0,3,,,,,,,,
20190712,Brooklyn,1,III,HH,7,Young,10,14,,,,,,,,
20190712,Brooklyn,1,III,HH,7.5,Old,0,1,,,,,,,,
20190712,Brooklyn,1,III,HH,7.5,Young,14,5,,,,,,,,
20190713,Brooklyn,2,II,HH,0,Old,0,0,,,,,,,,
20190713,Brooklyn,2,II,HH,0,Young,5,4,,,,,,,,
20190713,Brooklyn,2,II,HH,1,Old,0,0,,,,,,,,
20190713,Brooklyn,2,II,HH,1,Young,5,22,,,,,,,,
20190713,Brooklyn,2,II,HH,2,Old,0,0,,,,,,,,
20190713,Brooklyn,2,II,HH,2,Young,4,10,,,,,,,,
20190713,Brooklyn,2,II,HH,3,Old,0,0,,,,,,,,
20190713,Brooklyn,2,II,HH,3,Young,5,9,,,,,,,,
20190713,Brooklyn,2,II,HH,4,Old,0,0,,,,,,,,
20190713,Brooklyn,2,II,HH,4,Young,1,13,,,,,,,,
20190713,Brooklyn,2,II,HH,5,Old,3,0,,,,,,,,
20190713,Brooklyn,2,II,HH,5,Young,12,24,,,,,,,,
20190713,Brooklyn,2,II,HH,6,Old,2,0,,,,,,,,
20190713,Brooklyn,2,II,HH,6,Young,15,45,,,,,,,,
20190713,Brooklyn,2,II,HH,7,Old,6,2,,,,,,,,
20190713,Brooklyn,2,II,HH,7,Young,9,30,,,,,,,,
20190713,Brooklyn,2,II,HH,7.5,Old,3,1,,,,,,,,
20190713,Brooklyn,2,II,HH,7.5,Young,3,9,,,,,,,,
20190715,Scarlett,2,II,LS,0,Old,0,0,,,,,,,,
20190715,Scarlett,2,II,LS,0,Young,4,6,,,,,,,,
20190715,Scarlett,2,II,LS,1,Old,0,1,,,,,,,,
20190715,Scarlett,2,II,LS,1,Young,42,19,,,,,,,,
20190715,Scarlett,2,II,LS,2,Old,5,7,,,,,,,,
20190715,Scarlett,2,II,LS,2,Young,55,23,,,,,,,,
20190715,Scarlett,2,II,LS,3,Old,2,4,,,,,,,,
20190715,Scarlett,2,II,LS,3,Young,41,21,,,,,,,,
20190715,Scarlett,2,II,LS,4,Old,1,1,,,,,,,,
20190715,Scarlett,2,II,LS,4,Young,57,13,,,,,,,,
20190715,Scarlett,2,II,LS,5,Old,0,1,,,,,,,,
20190715,Scarlett,2,II,LS,5,Young,27,23,,,,,,,,
20190715,Scarlett,2,II,LS,6,Old,2,1,,,,,,,,
20190715,Scarlett,2,II,LS,6,Young,40,23,,,,,,,,
20190715,Scarlett,2,II,LS,7,Old,0,0,,,,,,,,
20190715,Scarlett,2,II,LS,7,Young,66,33,,,,,,,,
20190715,Scarlett,2,II,LS,7.5,Old,0,0,,,,,,,,
20190715,Scarlett,2,II,LS,7.5,Young,22,9,,,,,,,,
20190716,Scarlett,1,III,LS,0,Old,3,0,,,,,,,,
20190716,Scarlett,1,III,LS,0,Young,2,2,,,,,,,,
20190716,Scarlett,1,III,LS,1,Old,4,0,,,,,,,,
20190716,Scarlett,1,III,LS,1,Young,2,1,,,,,,,,
20190716,Scarlett,1,III,LS,2,Old,0,0,,,,,,,,
20190716,Scarlett,1,III,LS,2,Young,13,8,,,,,,,,
20190716,Scarlett,1,III,LS,3,Old,0,0,,,,,,,,
20190716,Scarlett,1,III,LS,3,Young,0,10,,,,,,,,
20190716,Scarlett,1,III,LS,4,Old,0,0,,,,,,,,
20190716,Scarlett,1,III,LS,4,Young,15,14,,,,,,,,
20190716,Scarlett,1,III,LS,5,Old,0,0,,,,,,,,
20190716,Scarlett,1,III,LS,5,Young,9,17,,,,,,,,
20190716,Scarlett,1,III,LS,6,Old,0,0,,,,,,,,
20190716,Scarlett,1,III,LS,6,Young,21,20,,,,,,,,
20190716,Scarlett,1,III,LS,7,Old,0,0,,,,,,,,
20190716,Scarlett,1,III,LS,7,Young,38,18,,,,,,,,
20190716,Scarlett,1,III,LS,7.5,Old,0,0,,,,,,,,
20190716,Scarlett,1,III,LS,7.5,Young,35,8,,,,,,,,
20190717,Greybeard,1,IV,LS,0,Old,0,0,,,,,,,,
20190717,Greybeard,1,IV,LS,0,Young,1,3,,,,,,,,
20190717,Greybeard,1,IV,LS,1,Old,0,1,,,,,,,,
20190717,Greybeard,1,IV,LS,1,Young,0,0,,,,,,,,
20190717,Greybeard,1,IV,LS,2,Old,2,8,,,,,,,,
20190717,Greybeard,1,IV,LS,2,Young,19,5,,,,,,,,
20190717,Greybeard,1,IV,LS,3,Old,8,14,,,,,,,,
20190717,Greybeard,1,IV,LS,3,Young,28,27,,,,,,,,
20190717,Greybeard,1,IV,LS,4,Old,0,0,,,,,,,,
20190717,Greybeard,1,IV,LS,4,Young,37,33,,,,,,,,
20190717,Greybeard,1,IV,LS,5,Old,0,1,,,,,,,,
20190717,Greybeard,1,IV,LS,5,Young,40,25,,,,,,,,
20190717,Greybeard,1,IV,LS,6,Old,0,2,,,,,,,,
20190717,Greybeard,1,IV,LS,6,Young,18,15,,,,,,,,
20190717,Greybeard,1,IV,LS,7,Old,0,0,,,,,,,,
20190717,Greybeard,1,IV,LS,7,Young,26,21,,,,,,,,
20190717,Greybeard,1,IV,LS,7.5,Old,0,1,,,,,,,,
20190717,Greybeard,1,IV,LS,7.5,Young,29,22,,,,,,,,
20190718,Greybeard,2,I,LS,0,Old,2,3,,,,,,,,
20190718,Greybeard,2,I,LS,0,Young,6,11,,,,,,,,
20190718,Greybeard,2,I,LS,1,Old,13,4,,,,,,,,
20190718,Greybeard,2,I,LS,1,Young,7,17,,,,,,,,
20190718,Greybeard,2,I,LS,2,Old,9,1,,,,,,,,
20190718,Greybeard,2,I,LS,2,Young,4,3,,,,,,,,
20190718,Greybeard,2,I,LS,3,Old,9,2,,,,,,,,
20190718,Greybeard,2,I,LS,3,Young,9,2,,,,,,,,
20190718,Greybeard,2,I,LS,4,Old,5,0,,,,,,,,
20190718,Greybeard,2,I,LS,4,Young,14,12,,,,,,,,
20190718,Greybeard,2,I,LS,5,Old,2,5,,,,,,,,
20190718,Greybeard,2,I,LS,5,Young,0,12,,,,,,,,
20190718,Greybeard,2,I,LS,6,Old,4,1,,,,,,,,
20190718,Greybeard,2,I,LS,6,Young,5,11,,,,,,,,
20190718,Greybeard,2,I,LS,7,Old,5,0,,,,,,,,
20190718,Greybeard,2,I,LS,7,Young,36,33,,,,,,,,
20190718,Greybeard,2,I,LS,7.5,Old,3,1,,,,,,,,
20190718,Greybeard,2,I,LS,7.5,Young,7,9,,,,,,,,
20190719,Nina,2,III,HH,0,Old,19,10,,,,,,,,
20190719,Nina,2,III,HH,0,Young,0,0,,,,,,,,
20190719,Nina,2,III,HH,1,Old,66,70,,,,,,,,
20190719,Nina,2,III,HH,1,Young,0,0,,,,,,,,
20190719,Nina,2,III,HH,2,Old,52,60,,,,,,,,
20190719,Nina,2,III,HH,2,Young,12,8,,,,,,,,
20190719,Nina,2,III,HH,3,Old,71,37,,,,,,,,
20190719,Nina,2,III,HH,3,Young,8,7,,,,,,,,
20190719,Nina,2,III,HH,4,Old,47,44,,,,,,,,
20190719,Nina,2,III,HH,4,Young,12,1,,,,,,,,
20190719,Nina,2,III,HH,5,Old,76,55,,,,,,,,
20190719,Nina,2,III,HH,5,Young,4,1,,,,,,,,
20190719,Nina,2,III,HH,6,Old,49,39,,,,,,,,
20190719,Nina,2,III,HH,6,Young,11,0,,,,,,,,
20190719,Nina,2,III,HH,7,Old,41,19,,,,,,,,
20190719,Nina,2,III,HH,7,Young,21,7,,,,,,,,
20190719,Nina,2,III,HH,7.5,Old,28,7,,,,,,,,
20190719,Nina,2,III,HH,7.5,Young,8,3,,,,,,,,
20190720,Nina,1,II,HH,0,Old,18,0,,,,,,,,
20190720,Nina,1,II,HH,0,Young,6,0,,,,,,,,
20190720,Nina,1,II,HH,1,Old,50,0,,,,,,,,
20190720,Nina,1,II,HH,1,Young,8,0,,,,,,,,
20190720,Nina,1,II,HH,2,Old,36,0,,,,,,,,
20190720,Nina,1,II,HH,2,Young,11,2,,,,,,,,
20190720,Nina,1,II,HH,3,Old,69,0,,,,,,,,
20190720,Nina,1,II,HH,3,Young,36,0,,,,,,,,
20190720,Nina,1,II,HH,4,Old,21,4,,,,,,,,
20190720,Nina,1,II,HH,4,Young,4,8,,,,,,,,
20190720,Nina,1,II,HH,5,Old,41,3,,,,,,,,
20190720,Nina,1,II,HH,5,Young,14,10,,,,,,,,
20190720,Nina,1,II,HH,6,Old,58,18,,,,,,,,
20190720,Nina,1,II,HH,6,Young,23,21,,,,,,,,
20190720,Nina,1,II,HH,7,Old,34,37,,,,,,,,
